Codeword: 0
Prev|  0   |   1   |   00   |   01   |   10   |   11
------------------------------------------------------
 0  |   -   |   -   |   -   |   -   |   -   |   -  

 1  |   -   |   -   |   -   |   -   |   -   |   -  

Codeword: 1
Prev|  0   |   1   |   00   |   01   |   10   |   11
------------------------------------------------------
 0  |   -   |   -   |   -   |   -   |   -   |   -  

 1  |   -   |   -   |   -   |   -   |   -   |   -  

Codeword: 00
Prev|  0   |   1   |   00   |   01   |   10   |   11
------------------------------------------------------
 0  | 0.010 | 0.013 |   -   |   -   |   -   |   -  

 1  |   -   |   -   |   -   |   -   |   -   |   -  

Codeword: 01
Prev|  0   |   1   |   00   |   01   |   10   |   11
------------------------------------------------------
 0  |   -   |   -   |   -   |   -   |   -   |   -  

 1  | 0.030 | 0.031 |   -   |   -   |   -   |   -  

Codeword: 10
Prev|  0   |   1   |   00   |   01   |   10   |   11
------------------------------------------------------
 0  | 0.026 | 0.030 |   -   |   -   |   -   |   -  

 1  |   -   |   -   |   -   |   -   |   -   |   -  

Codeword: 11
Prev|  0   |   1   |   00   |   01   |   10   |   11
------------------------------------------------------
 0  |   -   |   -   |   -   |   -   |   -   |   -  

 1  | 0.012 | 0.010 |   -   |   -   |   -   |   -  

Codeword: 000
Prev|  0   |   1   |   00   |   01   |   10   |   11
------------------------------------------------------
 0  | 0.010 | 0.006 | 0.010 | 0.006 | 0.015 | 0.000

 1  |   -   |   -   |   -   |   -   |   -   |   -  

Codeword: 001
Prev|  0   |   1   |   00   |   01   |   10   |   11
------------------------------------------------------
 0  | 0.010 | 0.014 |   -   |   -   |   -   |   -  

 1  | 0.030 | 0.030 | 0.030 | 0.030 | 0.024 | 0.077

Codeword: 010
Prev|  0   |   1   |   00   |   01   |   10   |   11
------------------------------------------------------
 0  | 0.038 | 0.030 | 0.038 | 0.030 | 0.000 | 0.031

 1  | 0.030 | 0.028 |   -   |   -   |   -   |   -  

Codeword: 011
Prev|  0   |   1   |   00   |   01   |   10   |   11
------------------------------------------------------
 0  |   -   |   -   |   -   |   -   |   -   |   -  

 1  | 0.030 | 0.010 | 0.009 | 0.010 | 0.000 | 0.007

Codeword: 100
Prev|  0   |   1   |   00   |   01   |   10   |   11
------------------------------------------------------
 0  | 0.011 | 0.030 | 0.009 | 0.000 | 0.010 | 0.009

 1  |   -   |   -   |   -   |   -   |   -   |   -  

Codeword: 101
Prev|  0   |   1   |   00   |   01   |   10   |   11
------------------------------------------------------
 0  | 0.028 | 0.030 |   -   |   -   |   -   |   -  

 1  | 0.030 | 0.028 | 0.029 | 0.071 | 0.030 | 0.027

Codeword: 110
Prev|  0   |   1   |   00   |   01   |   10   |   11
------------------------------------------------------
 0  | 0.021 | 0.031 | 0.000 | 0.032 | 0.021 | 0.031

 1  | 0.011 | 0.010 |   -   |   -   |   -   |   -  

Codeword: 111
Prev|  0   |   1   |   00   |   01   |   10   |   11
------------------------------------------------------
 0  |   -   |   -   |   -   |   -   |   -   |   -  

 1  | 0.008 | 0.010 | 0.000 | 0.007 | 0.011 | 0.010

