bit_position,error_probability
0,0.025
1,0.05
2,0.0
3,0.0
4,0.025
5,0.075
6,0.0
7,0.0
8,0.0
9,0.0
10,0.05
11,0.0
12,0.025
13,0.0
14,0.025
15,0.0
16,0.025
17,0.0
18,0.025
19,0.025
20,0.0
21,0.0
22,0.025
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.025
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.05
36,0.0
37,0.025
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.05
45,0.0
46,0.0
47,0.05
48,0.025
49,0.05
50,0.0
51,0.0
52,0.025
53,0.0
54,0.0
55,0.0
56,0.05
57,0.0
58,0.025
59,0.0
60,0.0
61,0.0
62,0.025
63,0.0
64,0.025
65,0.0
66,0.025
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.05
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.025
83,0.05
84,0.0
85,0.0
86,0.025
87,0.025
88,0.025
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.025
95,0.0
96,0.0
97,0.025
98,0.0
99,0.025
100,0.0
101,0.025
102,0.0
103,0.025
104,0.0
105,0.0
106,0.025
107,0.0
108,0.0
109,0.025
110,0.0
111,0.0
112,0.025
113,0.0
114,0.0
115,0.025
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.025
123,0.0
124,0.025
125,0.0
126,0.0
127,0.025
