input,output,hamming_distance
01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,01000101010101010101010101010101010101010101010101000101010101010101010101000101010101010101010101010101010101010101010101010101,3
01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,01010101010101010101001101010101010101010101011101010101010101010101010101010101010100010101010001010101010101010100010101010101,6
01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,01010101010101010101010101010101010101010101010101010101010101010101010101010101011101010101010101010101010101010101010101010101,1
01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,01010101010101010101010101000101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,1
01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,01010101010111010101010101011101010101010101010101110101010101010101110101010101110101010101010101010100010101010101011000010101,9
01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,01010101010101010101010101010101010101010101010101010101000101010101010101010101010101110101010101010101010101010101010101010101,2
01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,01010000010101010101010101000101010111010101010101010101010101010101010100000101010101010101010001010101010101010101010101010101,7
01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,01010101010101010101010101010101011101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,1
01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,01010101010101010101010101011101010101010101010101010101000100010101010101010101010101010101000101010101010101010101000101010101,5
01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,01010101010101010101010101110101010101010101010101010101010101010101010101010100010101010101010101011101010101010101100101010101,5
01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,01010101010101010101010101010101010101010101010101010101010100010101010101010101010101010101010101010101010101010101010101110101,2
01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,01010101010101010101010101010101010101010101010001010111010101010101010101010101010101010101010101010101010101010101010101010101,2
