bit_position,error_probability
0,0.025
1,0.0
2,0.025
3,0.0
4,0.05
5,0.025
6,0.05
7,0.05
8,0.0
9,0.025
10,0.025
11,0.025
12,0.05
13,0.025
14,0.0
15,0.025
16,0.075
17,0.05
18,0.025
19,0.0
20,0.05
21,0.025
22,0.025
23,0.05
24,0.0
25,0.025
26,0.025
27,0.0
28,0.0
29,0.075
30,0.075
31,0.05
32,0.05
33,0.0
34,0.025
35,0.0
36,0.05
37,0.025
38,0.025
39,0.025
40,0.025
41,0.025
42,0.075
43,0.025
44,0.0
45,0.075
46,0.05
47,0.05
48,0.075
49,0.025
50,0.0
51,0.05
52,0.075
53,0.0
54,0.05
55,0.025
56,0.05
57,0.025
58,0.025
59,0.075
60,0.05
61,0.0
62,0.05
63,0.05
64,0.025
65,0.05
66,0.0
67,0.0
68,0.1
69,0.025
70,0.075
71,0.025
72,0.025
73,0.025
74,0.025
75,0.0
76,0.025
77,0.05
78,0.025
79,0.0
80,0.025
81,0.025
82,0.0
83,0.025
84,0.075
85,0.025
86,0.05
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.125
94,0.025
95,0.0
96,0.0
97,0.025
98,0.125
99,0.0
100,0.075
101,0.0
102,0.025
103,0.025
104,0.05
105,0.025
106,0.0
107,0.0
108,0.025
109,0.05
110,0.025
111,0.025
112,0.025
113,0.0
114,0.075
115,0.0
116,0.025
117,0.025
118,0.025
119,0.05
120,0.0
121,0.05
122,0.075
123,0.025
124,0.025
125,0.025
126,0.075
127,0.075
